full_name,ID,type,b,S,CD0,K,CLmax_ld,MTOM,OEM,beta,Ta0,Pa0
Airbus A320-200,A322,Simplified Jet,35.8,124.0,0.018,0.039,2.99,78000,42600,0.85,235.800,
Airbus A310-200,A310,Simplified Jet,43.9,219.0,0.0185,0.0395,2.973,150000,77400,0.85,468.0,
Airbus A318,A318,Simplified Jet,34.0,122.0,0.02,0.039,3.0045,59000,39500,0.85,196.0,
Airbus A330-300,A333,Simplified Jet,60.2,362.0,0.0135,0.0371,2.6956,230000,124500,0.85,616.0,
Boeing 727-200,B722,Simplified Jet,32.7,153.0,0.0177,0.0508,2.9911,93500,45700,0.85,232.0,
Boeing 737-100,B731,Simplified Jet,28.5,91.0,0.019,0.0412,2.4944,49950,28000,0.85,125.0,
Boeing 737-200,B732,Simplified Jet,28.5,91.0,0.0199,0.0412,3.0585,52390,29600,0.85,155.0,
Boeing 737-300,B733,Simplified Jet,27.0,91.0,0.021,0.0438,3.3348,56470,32820,0.85,198.0,
Boeing 737-400,B734,Simplified Jet,27.0,91.0,0.0215,0.044,3.1935,68000,34820,0.85,210.0,
Boeing 737-800,B738,Simplified Jet,34.3,125.0,0.0186,0.0386,2.3975,70535,42493,0.85,233.0,
Boeing 757-200,B752,Simplified Jet,38.0,185.2,0.0156,0.0456,2.9369,115680,58390,0.85,387.0,
Boeing 767-200ER,B762,Simplified Jet,47.6,283.3,0.0128,0.0484,2.6956,179170,82380,0.85,563.0,
Boeing 767-300ER,B763,Simplified Jet,47.6,283.3,0.0134,0.048,2.6735,186880,85235,0.85,563.0,
Boeing 777-200,B772,Simplified Jet,61.0,427.8,0.0135,0.0432,2.545,247210,135600,0.85,753.0,
Boeing 777-300ER,B773,Simplified Jet,64.8,436.8,0.024,0.043,2.63,351500,167800,0.85,1027.800,
Fokker 100,F100,Simplified Jet,28.0,93.5,0.0194,0.0437,2.5825,44560,24727,0.85,135.0,
McDonnel Douglas DC-10-30,DC10,Simplified Jet,50.4,338.8,0.0143,0.0524,2.4856,259459,121600,0.85,721.0,
McDonnel Douglas MD-11,MD11,Simplified Jet,51.8,339.0,0.0162,0.043,2.3277,273315,130650,0.85,274.0,
ATR ATR72-600,AT72,Simplified Propeller,27.0,61.0,0.0317,0.034,2.09,22500,12400,0.85,,3220.0